Scenario_ID,Variant_ID,Browser,Device,Network_Speed,Password_Validity,User_Type
TS-052,V00001,Chrome,Desktop,High,Valid,Buyer
TS-052,V00002,Chrome,Desktop,Medium,Valid,Buyer
TS-052,V00003,Chrome,Desktop,Low,Valid,Buyer
TS-052,V00004,Chrome,Mobile,High,Valid,Buyer
TS-052,V00005,Chrome,Mobile,Medium,Valid,Buyer
TS-052,V00006,Chrome,Mobile,Low,Valid,Buyer
TS-052,V00007,Chrome,Tablet,High,Valid,Buyer
TS-052,V00008,Chrome,Tablet,Medium,Valid,Buyer
TS-052,V00009,Chrome,Tablet,Low,Valid,Buyer
TS-052,V00010,Firefox,Desktop,High,Valid,Buyer
TS-052,V00011,Firefox,Desktop,Medium,Valid,Buyer
TS-052,V00012,Firefox,Desktop,Low,Valid,Buyer
TS-052,V00013,Firefox,Mobile,High,Valid,Buyer
TS-052,V00014,Firefox,Mobile,Medium,Valid,Buyer
TS-052,V00015,Firefox,Mobile,Low,Valid,Buyer
TS-052,V00016,Firefox,Tablet,High,Valid,Buyer
TS-052,V00017,Firefox,Tablet,Medium,Valid,Buyer
TS-052,V00018,Firefox,Tablet,Low,Valid,Buyer
TS-052,V00019,Safari,Desktop,High,Valid,Buyer
TS-052,V00020,Safari,Desktop,Medium,Valid,Buyer
TS-052,V00021,Safari,Desktop,Low,Valid,Buyer
TS-052,V00022,Safari,Mobile,High,Valid,Buyer
TS-052,V00023,Safari,Mobile,Medium,Valid,Buyer
TS-052,V00024,Safari,Mobile,Low,Valid,Buyer
TS-052,V00025,Safari,Tablet,High,Valid,Buyer
TS-052,V00026,Safari,Tablet,Medium,Valid,Buyer
TS-052,V00027,Safari,Tablet,Low,Valid,Buyer
TS-052,V00028,Edge,Desktop,High,Valid,Buyer
TS-052,V00029,Edge,Desktop,Medium,Valid,Buyer
TS-052,V00030,Edge,Desktop,Low,Valid,Buyer
TS-052,V00031,Edge,Mobile,High,Valid,Buyer
TS-052,V00032,Edge,Mobile,Medium,Valid,Buyer
TS-052,V00033,Edge,Mobile,Low,Valid,Buyer
TS-052,V00034,Edge,Tablet,High,Valid,Buyer
TS-052,V00035,Edge,Tablet,Medium,Valid,Buyer
TS-052,V00036,Edge,Tablet,Low,Valid,Buyer
TS-052,V00037,Chrome,Desktop,High,Invalid,Buyer
TS-052,V00038,Chrome,Desktop,Medium,Invalid,Buyer
TS-052,V00039,Chrome,Desktop,Low,Invalid,Buyer
TS-052,V00040,Chrome,Mobile,High,Invalid,Buyer
TS-052,V00041,Chrome,Mobile,Medium,Invalid,Buyer
TS-052,V00042,Chrome,Mobile,Low,Invalid,Buyer
TS-052,V00043,Chrome,Tablet,High,Invalid,Buyer
TS-052,V00044,Chrome,Tablet,Medium,Invalid,Buyer
TS-052,V00045,Chrome,Tablet,Low,Invalid,Buyer
TS-052,V00046,Firefox,Desktop,High,Invalid,Buyer
TS-052,V00047,Firefox,Desktop,Medium,Invalid,Buyer
TS-052,V00048,Firefox,Desktop,Low,Invalid,Buyer
TS-052,V00049,Firefox,Mobile,High,Invalid,Buyer
TS-052,V00050,Firefox,Mobile,Medium,Invalid,Buyer
TS-052,V00051,Firefox,Mobile,Low,Invalid,Buyer
TS-052,V00052,Firefox,Tablet,High,Invalid,Buyer
TS-052,V00053,Firefox,Tablet,Medium,Invalid,Buyer
TS-052,V00054,Firefox,Tablet,Low,Invalid,Buyer
TS-052,V00055,Safari,Desktop,High,Invalid,Buyer
TS-052,V00056,Safari,Desktop,Medium,Invalid,Buyer
TS-052,V00057,Safari,Desktop,Low,Invalid,Buyer
TS-052,V00058,Safari,Mobile,High,Invalid,Buyer
TS-052,V00059,Safari,Mobile,Medium,Invalid,Buyer
TS-052,V00060,Safari,Mobile,Low,Invalid,Buyer
TS-052,V00061,Safari,Tablet,High,Invalid,Buyer
TS-052,V00062,Safari,Tablet,Medium,Invalid,Buyer
TS-052,V00063,Safari,Tablet,Low,Invalid,Buyer
TS-052,V00064,Edge,Desktop,High,Invalid,Buyer
TS-052,V00065,Edge,Desktop,Medium,Invalid,Buyer
TS-052,V00066,Edge,Desktop,Low,Invalid,Buyer
TS-052,V00067,Edge,Mobile,High,Invalid,Buyer
TS-052,V00068,Edge,Mobile,Medium,Invalid,Buyer
TS-052,V00069,Edge,Mobile,Low,Invalid,Buyer
TS-052,V00070,Edge,Tablet,High,Invalid,Buyer
TS-052,V00071,Edge,Tablet,Medium,Invalid,Buyer
TS-052,V00072,Edge,Tablet,Low,Invalid,Buyer
TS-052,V00073,Chrome,Desktop,High,Weak,Buyer
TS-052,V00074,Chrome,Desktop,Medium,Weak,Buyer
TS-052,V00075,Chrome,Desktop,Low,Weak,Buyer
TS-052,V00076,Chrome,Mobile,High,Weak,Buyer
TS-052,V00077,Chrome,Mobile,Medium,Weak,Buyer
TS-052,V00078,Chrome,Mobile,Low,Weak,Buyer
TS-052,V00079,Chrome,Tablet,High,Weak,Buyer
TS-052,V00080,Chrome,Tablet,Medium,Weak,Buyer
TS-052,V00081,Chrome,Tablet,Low,Weak,Buyer
TS-052,V00082,Firefox,Desktop,High,Weak,Buyer
TS-052,V00083,Firefox,Desktop,Medium,Weak,Buyer
TS-052,V00084,Firefox,Desktop,Low,Weak,Buyer
TS-052,V00085,Firefox,Mobile,High,Weak,Buyer
TS-052,V00086,Firefox,Mobile,Medium,Weak,Buyer
TS-052,V00087,Firefox,Mobile,Low,Weak,Buyer
TS-052,V00088,Firefox,Tablet,High,Weak,Buyer
TS-052,V00089,Firefox,Tablet,Medium,Weak,Buyer
TS-052,V00090,Firefox,Tablet,Low,Weak,Buyer
TS-052,V00091,Safari,Desktop,High,Weak,Buyer
TS-052,V00092,Safari,Desktop,Medium,Weak,Buyer
TS-052,V00093,Safari,Desktop,Low,Weak,Buyer
TS-052,V00094,Safari,Mobile,High,Weak,Buyer
TS-052,V00095,Safari,Mobile,Medium,Weak,Buyer
TS-052,V00096,Safari,Mobile,Low,Weak,Buyer
TS-052,V00097,Safari,Tablet,High,Weak,Buyer
TS-052,V00098,Safari,Tablet,Medium,Weak,Buyer
TS-052,V00099,Safari,Tablet,Low,Weak,Buyer
TS-052,V00100,Edge,Desktop,High,Weak,Buyer
TS-052,V00101,Edge,Desktop,Medium,Weak,Buyer
TS-052,V00102,Edge,Desktop,Low,Weak,Buyer
TS-052,V00103,Edge,Mobile,High,Weak,Buyer
TS-052,V00104,Edge,Mobile,Medium,Weak,Buyer
TS-052,V00105,Edge,Mobile,Low,Weak,Buyer
TS-052,V00106,Edge,Tablet,High,Weak,Buyer
TS-052,V00107,Edge,Tablet,Medium,Weak,Buyer
TS-052,V00108,Edge,Tablet,Low,Weak,Buyer
